id,name,sku
4925,Dark Chocolate Extract Nat. R-1074- Tastepoint,1220087
4926,S&S Strawberry Jam Flavor ST-22667 for smoothie,1220088
4927,MANGO TY N&A 234P97- FFS,1220089
4928,Raspberry 78-878- Flavorchem,1220090
4929,Raspberry Artificial BK54 (SF#220-17)- Virginia Dare,1220091
4930,Kahlua N&A 21-895 (SF60-56)- Flavorchem,1220092
4931,CHERRY FLAVOR WONF 22-85-0249 -Weber,1220093
4932,P0614726 Blueberry Flavor Frey & Lau,1220094
4933,Banana N&A 26-03-0097 (SF#230-50)-Weber,1220095
4934,French Vanilla Nat. 25070 OC53 V.Dare,1220096
4935,Holiday Cake 26-03-0089 (SF#230-54)- Edgar Weber,1220097
4936,Molasses Nat. WONF 29981 - Comax Flavors,1220098
4937,CinnamonHC29 (SF#220-16)- Virginia Dare,1220099
4938,Pistachio Type Natural 236S23- FFS,1220100
4939,Almond # 26-93-0047 (SF#230-21)- Weber,1220101
4940,APPLE PO612016 FREY & LAU,1220102
4941,Orange N&A 225Z94 FFS,1220103
4942,Pumpkin Spice HX21,1220104
4943,HABANERO PEPPER FL N&A (PE-17004)- S&S,1220105
1213,PINA COLADA FLAVOR BASE,1220106
4944,Cherry Maraschino #8368- Tastepoint,1220107
4945,Banana SB89 (SF#220-11)- Virginia Dare,1220108
4946,Brown Sugar N&A 3703M26462- Comax,1220109
4947,STRAWBERRY NAT. ST16110 - S&S,1220110
4948,Grapefruit Nat. (Pink Type) 26852- Comax,1220111
4949,Macadamia Nut 5543- GSB/ Flavorsum,1220112
4950,Peanut Butter # 205P82 (SF#70-15)- FFS,1220113
1214,10% STRAWBERRY FLAVOR BASE,1220114
4951,RASPBERRY N&A RA-22135 - S&S,1220115
4952,Passionfruit Flavor 220H37 Nat. FFS,1220116
4953,Snickerdoodle 06-251 (SF#60-55)- Flavor Chem,1220117
1215,10% RASPBERRY FLAVOR BASE,1220118
4954,BELL BUBBLE GUM FLAVOR # 65.25526- Bell,1220119
4955,B-52 Flavor N&S #226V40 FFS,1220120
4956,Rose Flavor Nat. HT80 Virginia Dare,1220121
4957,Gingerbread 204G80 (SF#70-14)- FFS,1220122
4958,Macadamia Nut 400I60- FFS,1220123
4959,Chocolate Mint 400P84- FFS,1220124
4960,Fruit Punch 26-08-0004- Ed. Weber,1220125
4961,Black Cherry 26-03-0091(SF #230-55)- Weber,1220126
4962,CHIPOTLE TYPE FL NAT (CH-25758)- S&S,1220127
4963,PRALINE FLAVOR # 63.967- FCHEM,1220128
1216,40% COCONUT FLAVOR BASE,1220129
4964,Watermelon Art. Jolly Rancher Type 149.25379- Bell,1220130
4965,Eggnog Flavor N&A #226C22,1220131
4966,Nutmeg Nat. 21-85-0006 (SF#230-24) - Edgar Weber,1220132
4967,Rose 201B31- FFS,1220133
4968,Tiramisu Flavor N&A 225Y96 FFS,1220134
4969,Kiwi N&A 26-92-0167- Edgar Weber,1220135
4970,Cinnamon 400I62 (SF#70-7)- FFS,1220136
4971,Chocolate N&A 7247 (SF#150-10)- Tastepoint,1220137
4972,Orange Juice Flavor Nat. WD138-12- Flavorsum/ GSB,1220138
4973,Grenadine Flavor Art.30-96-0097 Weber,1220139
4974,Cinnamon Nat. 21-85-0953-Edgar Weber,1220140
4975,BELL COFFEE FLAVOR # 43.48445- Bell Flavors,1220141
